icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
e94c05,BOV684  ,Bolivia,1560302899,1560302899,-68.239,-16.5138,4076.7,false,123.04,272.16,9.43,,,4061.46,1717,false
508370,FIA316  ,Ukraine,1560302899,1560302899,30.3347,39.8325,11582.4,false,229.74,335.39,0,,,11932.92,6342,false
a3cf6d,UAL247  ,United States,1560302893,1560302895,-79.3808,28.9126,10363.2,false,230.79,192.49,0.33,,,10942.32,2343,false
acfe09,EDV5245 ,United States,1560302835,1560302851,-92.1698,42.3784,10058.4,false,246.3,155.31,0,,,10203.18,0670,false
a7b92b,UAL351  ,United States,1560302899,1560302899,-118.7882,37.7113,10972.8,false,205.78,270,0,,,10965.18,3117,false
a443bb,N374MA  ,United States,1560302900,1560302900,-122.4406,48.3596,1341.12,false,58.95,350.46,-0.98,,,1402.08,6633,false
a5d9f1,N4761T  ,United States,1560302900,1560302900,-121.4007,38.6642,91.44,false,40.14,181.47,3.25,,,76.2,,false
a2fcf2,ASA21   ,United States,1560302900,1560302900,-88.199,41.8954,3764.28,false,143.58,258.01,13.98,,,3840.48,5661,false
abde0b,DAL1625 ,United States,1560302900,1560302900,-77.7048,37.1738,9144,false,270.68,44.08,0,,,9555.48,6012,false
318959,,Italy,,1560302748,,,,false,12.35,258,,,,,,false
7813b3,CSN357  ,China,1560302899,1560302900,113.3537,22.5501,5394.96,false,218.66,162.33,0,,,5699.76,3104,false
780cbb,CCA181  ,China,1560302900,1560302900,124.2473,37.1923,12496.8,false,273.42,102.94,0,,,12893.04,0001,false
a2af91,SKW4026 ,United States,1560302899,1560302899,-85.8973,43.1538,8244.84,false,202.92,277.58,-9.1,,,8389.62,1374,false
869278,ANA295  ,Japan,1560302898,1560302900,135.7181,35.4974,10271.76,false,212.04,268.33,-5.53,,,10477.5,1755,false
a43cce,,United States,1560302900,1560302900,-111.4941,33.0044,2331.72,false,57.43,350.2,-2.6,,,2324.1,,false
a24c77,UAL684  ,United States,1560302900,1560302900,-107.884,32.345,10363.2,false,230.51,286.33,0,,,10911.84,4006,false
ab3ee2,ASH6332 ,United States,1560302900,1560302900,-97.728,30.5733,9326.88,false,207.34,300.57,5.2,,,9829.8,7262,false
a74f33,JBU603  ,United States,1560302899,1560302899,-102.5131,39.5705,10965.18,false,245.42,230.1,0,,,11300.46,,false
406f75,BAW123  ,United Kingdom,1560302811,1560302811,51.6094,25.2685,,true,0.51,202,,,,,1065,false
ab3edd,ASH6088 ,United States,1560302900,1560302900,-97.077,34.2509,8526.78,false,222.71,341.69,-11.7,,,8915.4,7334,false
a2c992,SKW3556 ,United States,1560302899,1560302899,-118.0537,33.9705,1592.58,false,97.44,263.03,-3.58,,,1668.78,0743,false
a3866a,UPS1291 ,United States,1560302899,1560302899,-82.2279,34.878,9144,false,240.9,325.09,0,,,9570.72,0701,false
a68ff0,N52168  ,United States,1560302900,1560302900,-149.5835,61.4305,487.68,false,46.07,150.57,-1.3,,,464.82,0104,false
406f78,BAW34   ,United Kingdom,1560302899,1560302899,29.5113,43.0995,12184.38,false,248.65,311.14,0.33,,,12588.24,3231,false
a37347,AAY204  ,United States,1560302870,1560302899,-103.8768,35.965,11277.6,false,233.57,90.5,-0.33,,,11772.9,7202,false
c06644,CGMSX   ,Canada,1560302899,1560302900,-108.1451,51.4066,8092.44,false,130.08,51.91,-6.83,,,8267.7,2044,false
a64996,JBU1169 ,United States,1560302880,1560302882,-79.2976,29.7248,10370.82,false,230.85,200.62,-0.33,,,10949.94,,false
49d3fa,TVS05C  ,Czech Republic,1560302898,1560302898,28.8851,35.7057,10668,false,237.92,140.53,0,,,11018.52,2025,false
7813bd,CSN305  ,China,1560302812,1560302900,154.8754,-24.3431,11887.2,false,259.03,128.87,-0.33,,,12656.82,,false
3cc158,AHO392H ,Germany,1560302884,1560302886,2.2041,48.9063,937.26,false,113.21,68.68,0,,,944.88,1000,false
a1d0a3,RPA5977 ,United States,1560302900,1560302900,-77.1035,40.256,10363.2,false,195.53,258.16,0,,,10713.72,3377,false
7502c4,MXD151  ,Malaysia,1560302899,1560302899,101.8061,-1.3217,10668,false,234.27,168.34,0.65,,,11399.52,2362,false
a4d011,SWA2339 ,United States,1560302899,1560302899,-114.9175,35.9983,3032.76,false,153.06,164,14.96,,,3185.16,7362,false
ac65ab,SKW3706 ,United States,1560302899,1560302899,-95.803,41.9904,8343.9,false,198.66,212.41,-10.08,,,8465.82,4525,false
a3998c,AMF1745 ,United States,,1560302900,,,5181.6,false,135.73,94.57,0,,,5440.68,5124,false
aba8e9,,United States,1560302898,1560302899,-121.4338,36.0136,7010.4,false,131.72,133.73,0,,,7002.78,6357,false
a12030,UCA5005 ,United States,1560302900,1560302900,-75.1005,40.3284,6004.56,false,177.73,227.82,4.88,,,6240.78,1102,false
a1dcf2,SWA546  ,United States,1560302900,1560302900,-122.5385,41.3717,12192,false,244.1,349.8,0,,,12679.68,3760,false
acaec8,AAL2775 ,United States,1560302899,1560302900,-107.0131,35.6362,7917.18,false,248.14,260.69,0,,,8374.38,3345,false
0d0856,SLI2817 ,Mexico,,1560302849,,,,false,230.24,103.04,2.93,,,,,false
a37335,DAL3027 ,United States,1560302898,1560302900,-84.1814,42.3716,5615.94,false,202.37,298.72,9.43,,,5745.48,,false
3a4494,REU975  ,France,1560302899,1560302900,17.207,41.2299,10965.18,false,235.64,306.12,0,,,11361.42,2013,false
a24c73,UAL2074 ,United States,1560302886,1560302900,-83.6213,42.9729,12192,false,202.69,265.92,0,,,12367.26,4052,false
abd204,SWA2344 ,United States,1560302900,1560302900,-76.5279,38.8506,1592.58,false,126.69,350.65,-6.5,,,1653.54,7401,false
318955,,Italy,,1560302833,,,,false,7.72,253,,,,,,false
a1336d,N177CN  ,United States,1560302897,1560302897,-112.4042,34.0502,3489.96,false,152.35,129.66,-8.78,,,3512.82,1200,false
a336e3,AAL1304 ,United States,1560302900,1560302900,-97.6422,31.4664,8862.06,false,245.36,15.32,9.1,,,9273.54,7206,false
a336f0,EDV5149 ,United States,1560302899,1560302899,-77.1027,40.8067,9753.6,false,203.91,281.79,-0.33,,,10104.12,1734,false
a5b3ad,ASA807  ,United States,1560302892,1560302896,-126.5329,43.4763,10668,false,231.98,211.86,0,,,11109.96,6606,false
31890b,,Italy,,1560302833,,,,false,15.43,84,,,,,,false
7813dc,KNA3019 ,China,1560302738,1560302743,106.5836,30.2203,8412.48,false,197.83,287.87,0,,,8877.3,6612,false
4791c9,LNTTA   ,Norway,1560302900,1560302900,11.1052,63.7175,2346.96,false,74.77,229.18,-0.33,,,2499.36,0230,false
318920,,Italy,,1560302683,,,,false,8.23,264,,,,,,false
a12096,ASQ4194 ,United States,1560302899,1560302900,-74.5353,40.7151,1524,false,150.16,167.54,-2.93,,,1562.1,1773,false
acf207,AAL1312 ,United States,1560302899,1560302899,-88.3828,41.6913,2407.92,false,128.05,45.65,0,,,2476.5,0202,false
c07915,,Canada,1560302900,1560302900,-121.7601,49.3706,6096,false,179.25,237.54,0.33,,,6431.28,5507,false
346146,IBE6252 ,Spain,1560302899,1560302900,-73.6692,40.6545,891.54,false,125.06,91.65,10.4,,,906.78,7133,false
7502b7,,Malaysia,,1560302795,,,1592.58,false,148.92,78.85,-7.8,,,1790.7,5473,false
a50f40,SWA1510 ,United States,1560302899,1560302900,-122.5257,45.2741,12192,false,246.58,354.37,0,,,12679.68,3676,false
ad1218,AAL2411 ,United States,1560302900,1560302900,-82.5908,29.0367,8983.98,false,244.12,324.43,7.48,,,9471.66,1063,false
